keyword,rapidfuzz,miniLM,multiLM,best_model
beteiligten,100.0,0.7475512027740479,0.8742326498031616,rapidfuzz
social,55.55555555555556,0.5095098614692688,0.9061751365661621,multiLM
media,50.0,0.7109677195549011,0.9674444794654846,multiLM
marketing,76.19047619047619,0.7323348522186279,0.9278833270072937,multiLM
deine,57.142857142857146,0.6000521183013916,0.7665461301803589,multiLM
gute,100.0,0.5374548435211182,0.8276885151863098,rapidfuzz
sehr,66.66666666666666,0.641772985458374,0.8884732723236084,multiLM
sowie,100.0,0.5816015005111694,0.9004077911376953,rapidfuzz
dich,66.66666666666666,0.6816191673278809,0.8478400707244873,multiLM
kunden,62.5,0.8105776309967041,0.8363667726516724,multiLM
anfragen,66.66666666666666,0.6849963068962097,0.8886597156524658,multiLM
zuschuss,55.55555555555556,0.6568042635917664,0.9109323024749756,multiLM
sein,100.0,0.6287208199501038,0.9360227584838867,rapidfuzz
ausbildungsplatz,59.25925925925926,0.6030938625335693,0.8598381280899048,multiLM
kaufmannfrau,52.17391304347826,0.561506986618042,0.7720207571983337,multiLM
dialogmarketing,70.96774193548387,0.6135804653167725,0.7835111021995544,multiLM
bist,53.333333333333336,0.5209555625915527,0.8989399075508118,multiLM
